Dih1a,Dih1b,Dih2a,Dih2b,Dih3a,Dih3b,Dih4a,Dih4b
-62.1772,-61.1143,77.901,64.6505,-64.8872,-171.5926,77.8713,64.6345,
-62.2456,-61.0824,78.2343,64.7184,-64.9081,-171.6503,80.3705,-171.1549,
-62.2454,-61.2667,78.032,64.8027,120.9022,-60.717,-65.4604,-55.3255,
-62.1256,-61.0205,77.6934,64.6563,122.3971,-60.7632,-87.49,68.0096,
-62.1121,-61.1161,77.9235,64.7634,121.1545,-60.7125,-66.7291,-165.3996,
-62.0776,-61.0262,77.4807,64.7062,121.2999,-60.8913,148.9627,-61.4449,
-62.1426,-61.0475,77.9771,64.8401,120.7818,-60.9388,78.0846,64.748,
-62.1359,-61.0336,77.8901,64.8945,121.3374,-60.7951,152.6748,-165.1575,
-62.2035,-61.2155,78.087,64.6009,73.9997,65.2874,-65.3568,-55.158,
-62.1154,-61.0703,77.8138,64.5791,73.3299,65.3614,-87.5763,67.4019,
-62.1476,-61.1121,77.9802,64.6324,73.9204,65.2909,-66.5765,-165.0817,
-62.1369,-61.0383,77.6389,64.6283,74.4076,65.3816,148.7214,-61.3728,
-62.0994,-61.035,78.1549,64.7199,73.5144,65.065,78.2653,64.6104,
-62.18,-61.1181,78.4143,64.6899,73.4225,65.1168,80.694,-171.3993,
-62.1946,-61.2342,78.1084,64.4905,110.3772,-171.4462,-65.3129,-55.2346,
-62.2211,-61.0197,77.6903,64.3698,114.1007,-171.3211,-87.732,67.8811,
-62.0357,-61.0278,78.0417,64.5231,110.704,-171.4339,-66.689,-165.5345,
-61.9957,-61.0096,77.4876,64.4304,111.4403,-171.5913,149.0128,-61.4133,
-62.1232,-61.0614,77.9665,64.5202,110.7592,-171.5186,77.9268,64.6909,
-62.2132,-61.0982,78.2573,64.5419,111.5779,-171.5318,80.3973,-171.2126,
-62.2889,-61.2048,80.4615,-171.146,-62.0829,-61.0913,-65.0889,-55.6158,
-62.3001,-61.1118,80.0397,-171.1588,-60.3398,-60.6147,-86.7093,68.1674,
-62.1649,-61.0683,80.4061,-171.1651,-62.1139,-61.1224,-66.3795,-165.8307,
-62.0676,-61.0529,80.021,-171.116,-62.0533,-61.0136,148.9848,-61.431,
-62.1905,-61.0954,80.4383,-171.2257,-62.2651,-61.1297,78.259,64.6573,
-62.2966,-61.1097,80.712,-171.1932,-62.2964,-61.1098,80.7183,-171.1894,
-62.2193,-61.2321,80.4225,-171.2501,-88.4739,64.6913,-64.8881,-55.3177,
-62.25,-61.0969,80.1038,-171.1762,-88.0238,64.6644,-86.4587,67.8811,
-62.1584,-61.0869,80.3906,-171.2776,-88.4657,64.6862,-66.1836,-165.6031,
-62.1271,-61.0249,80.0693,-171.2097,-88.5933,64.7656,149.2916,-61.4658,
-62.219,-61.032,80.34,-171.271,-88.7831,64.7227,78.1879,64.6929,
-62.3358,-61.1169,80.5404,-171.271,-88.7872,64.7332,80.7681,-171.1753,
-62.313,-61.1861,80.4781,-171.1568,-64.9313,-171.685,-65.0117,-55.4384,
-62.3387,-61.1199,80.1255,-171.1528,-64.552,-171.679,-86.4253,68.0297,
-62.1464,-61.0464,80.4464,-171.1623,-64.8647,-171.731,-66.2746,-165.5447,
-62.0985,-61.0532,79.9984,-171.1849,-64.9285,-171.6727,149.1668,-61.475,
-62.1524,-61.0803,80.4582,-171.161,-64.9392,-171.6242,78.2411,64.7293,
-62.2648,-61.0562,80.6863,-171.1578,-64.9142,-171.6209,80.6861,-171.1575,
-62.2589,-61.2291,80.6588,-171.2867,119.2726,-60.9017,-65.0468,-55.1986,
-62.4123,-61.0921,80.1519,-171.2471,120.9346,-60.8598,-87.2393,67.9518,
-62.1416,-61.0311,80.5487,-171.2834,119.0159,-60.806,-66.3237,-165.6185,
-62.0594,-61.0098,80.0522,-171.2865,119.8778,-61.0143,149.293,-61.5387,
-62.173,-61.0604,80.625,-171.2715,119.4556,-61.0717,78.292,64.7328,
-62.3468,-61.1236,80.9326,-171.3389,119.0095,-60.9689,80.7694,-171.2291,
-62.087,-61.1531,153.2317,-165.1447,73.9635,65.1938,-65.4383,-54.9953,
-62.1378,-61.0539,152.7836,-165.0559,73.1961,65.1878,-87.8266,67.3083,
-62.0784,-61.0561,80.5904,-171.1133,74.0926,65.2486,-66.1673,-165.1342,
-62.125,-61.0441,80.1065,-171.1537,74.2882,65.2925,148.9974,-61.4501,
-62.1297,-61.0678,80.6872,-171.1075,73.4673,64.9634,78.447,64.6273,
-62.3725,-61.1063,80.9648,-171.1507,73.2164,65.036,81.0301,-171.4302,
-62.3206,-61.1855,80.6111,-171.2531,108.9726,-171.5121,-65.0417,-55.5137,
-62.3819,-61.1038,80.2632,-171.1838,113.6305,-171.4068,-87.2452,67.9272,
-62.1813,-61.0771,80.647,-171.2474,109.6796,-171.4971,-66.3165,-165.5175,
-62.0998,-61.0077,80.1356,-171.2423,112.9256,-171.4837,149.3266,-61.5491,
-62.1574,-61.0633,80.6292,-171.2963,111.5568,-171.5232,78.1838,64.7346,
-62.3117,-61.1141,80.9279,-171.1979,86.4045,-171.7278,80.6938,-171.2462,
-87.8969,65.1255,-65.0735,-55.2688,-62.1007,-61.188,-65.2122,-54.9802,
-88.2182,64.871,-65.7479,-55.0414,-60.5817,-60.8703,-87.4226,67.883,
-87.9196,64.7565,-65.2855,-55.2112,-62.184,-61.2222,-66.7735,-165.6223,
-88.1965,64.7032,-65.7488,-55.2379,-62.2227,-61.2248,148.5604,-61.2591,
-88.3538,64.7101,-65.2567,-55.3047,-62.1562,-61.1914,77.7225,64.5348,
-88.4799,64.6944,-64.8857,-55.3067,-62.2157,-61.2297,80.4202,-171.2569,
-87.6236,65.1762,-64.9387,-54.757,-87.6241,65.1777,-64.9373,-54.7554,
-88.4023,64.7819,-65.5133,-54.5107,-87.2396,65.1853,-87.0595,67.7524,
-87.6277,64.8287,-65.1207,-54.7035,-87.7591,65.1694,-66.5193,-165.3758,
-87.8646,64.7316,-65.5657,-54.8052,-87.9304,65.2009,148.8575,-61.3245,
-88.0317,64.7311,-65.0954,-54.9343,-87.9115,65.1651,78.0884,64.524,
-88.4025,64.6958,-64.7707,-54.9506,-88.2035,65.1077,80.526,-171.1762,
-87.9452,65.076,-65.1619,-55.367,-64.8432,-171.6141,-65.2115,-54.8531,
-88.2042,64.8833,-65.7762,-55.1707,-64.6253,-171.6283,-87.0844,67.8401,
-87.9793,64.7236,-65.3615,-55.3196,-64.8515,-171.6227,-66.7712,-165.4882,
-88.0807,64.7192,-65.8041,-55.2562,-64.7738,-171.6582,148.6703,-61.2953,
-88.3396,64.7186,-65.2853,-55.4314,-64.8259,-171.6532,77.6567,64.5877,
-88.3874,64.6457,-64.9395,-55.4473,-64.8689,-171.6617,80.4605,-171.1946,
-88.1583,65.0642,-65.1612,-55.2821,119.2323,-60.8457,-65.2205,-54.7862,
-87.8816,64.855,-65.6896,-55.0117,121.5369,-60.8905,-87.5198,67.997,
-87.964,64.6867,-65.3379,-55.1869,119.5318,-60.8686,-66.8919,-165.4086,
-87.5218,64.7934,-65.7505,-55.2939,119.9127,-60.9627,148.9511,-61.3385,
-89.121,64.5638,-65.2373,-55.242,119.2986,-61.0369,77.7317,64.6571,
-88.2354,64.6836,-64.9826,-55.5314,118.9151,-61.0559,80.5839,-171.2265,
-88.3674,65.0513,-64.7779,-55.3101,73.6918,65.1933,-65.0661,-54.585,
-88.887,64.7921,-65.2375,-55.1484,73.2426,65.2653,-87.5646,67.4437,
-88.5955,64.7004,-64.9531,-55.2943,73.8923,65.2369,-66.7064,-165.2112,
-87.6663,64.8451,-65.4339,-55.3304,74.7037,65.3453,148.6695,-61.2588,
-89.1781,64.6042,-64.8471,-55.265,73.2426,65.0364,78.0286,64.5255,
-88.8029,64.6838,-64.5528,-55.4765,73.3258,64.9963,80.8485,-171.4675,
-88.1079,65.0244,-65.1056,-55.2752,109.1566,-171.5208,-65.2507,-54.8671,
-88.0944,64.8486,-65.6332,-54.9429,112.933,-171.4267,-87.713,67.8744,
-87.8467,64.7064,-65.3025,-55.1369,110.2125,-171.4781,-66.8393,-165.2964,
-87.6037,64.7695,-65.7097,-55.2407,110.9242,-171.5822,149.1028,-61.3742,
-88.1283,64.7426,-65.2606,-55.3111,110.7775,-171.4893,77.7901,64.6276,
-88.5062,64.6532,-64.9562,-55.5945,111.0024,-171.5861,80.5201,-171.3084,
-87.2042,65.1512,-86.8403,67.8973,-62.1246,-61.0833,-65.6931,-54.7308,
-87.5576,64.9898,-87.5581,67.7942,-60.5475,-60.6908,-87.851,67.9244,
-87.2083,64.8068,-87.1021,67.8212,-62.1586,-61.1112,-67.3525,-165.5944,
-87.6304,64.7228,-87.7283,67.6689,-62.1111,-61.0223,148.3031,-61.1967,
-87.7427,64.7949,-87.1119,67.7718,-62.2187,-61.0607,77.2589,64.5193,
-88.0233,64.6629,-86.4545,67.8822,-62.2502,-61.0969,80.0986,-171.1761,
-87.2396,65.1853,-87.0595,67.7524,-88.4023,64.7819,-65.5133,-54.5107,
-87.6116,64.8766,-87.7025,67.6453,-87.6115,64.8766,-87.7025,67.6454,
-87.275,64.7895,-87.2376,67.6884,-88.2353,64.7977,-67.1395,-165.2461,
-87.4673,64.6892,-87.7474,67.6377,-88.7081,64.8472,148.4764,-61.2304,
-87.713,64.749,-87.2446,67.6863,-88.661,64.8547,77.3912,64.5298,
-87.1687,64.7131,-87.4593,67.6368,-88.391,64.9031,152.3558,-164.93,
-87.1699,65.1317,-86.8214,67.8779,-64.9484,-171.6219,-65.5886,-54.5901,
-87.6288,64.9726,-87.4617,67.7982,-64.6361,-171.6459,-87.5076,67.8296,
-87.2205,64.8004,-87.0734,67.8228,-64.9238,-171.6335,-67.2678,-165.4777,
-87.4902,64.7878,-87.5464,67.702,-64.8564,-171.638,148.5994,-61.2955,
-87.7008,64.7527,-86.8463,67.7749,-64.807,-171.6202,77.5701,64.5761,
-87.9752,64.6759,-86.6134,67.8807,-64.9125,-171.596,79.9495,-171.1623,
-86.6759,65.1775,-86.8858,67.8449,118.9243,-60.8518,-65.6506,-54.4887,
-87.3569,64.9469,-87.357,67.8281,120.4053,-60.9409,-88.0187,67.9165,
-86.5447,64.8795,-87.0403,67.8265,118.793,-60.9157,-67.3277,-165.0364,
-87.2733,64.7275,-87.5864,67.6618,119.638,-60.9662,148.7538,-61.3208,
-86.9084,64.7922,-87.0195,67.749,118.8199,-61.0958,77.7279,64.6606,
-88.2839,64.6416,-86.932,67.6906,118.4487,-61.1172,79.93,-171.2642,
-87.5521,65.1285,-86.4084,67.8677,73.9017,65.1512,-65.4946,-54.3903,
-87.2898,64.9642,-86.8155,67.9185,73.6971,65.263,-88.0523,67.3443,
-86.5545,64.8926,-86.5759,67.9054,74.3065,65.1789,-67.1722,-164.8304,
-87.7366,64.6835,-86.9305,67.8275,74.2777,65.2963,148.6287,-61.2722,
-87.3409,64.7864,-86.4395,67.913,72.6213,64.9803,77.9428,64.4894,
-88.0999,64.6884,-86.1104,67.9008,73.5429,64.9298,80.3856,-171.458,
-86.3996,65.2465,-86.7827,67.9045,109.7818,-171.5191,-65.6513,-54.4389,
-87.6199,64.9239,-87.3542,67.7767,112.9027,-171.4418,-88.1869,67.8089,
-86.8305,64.8508,-86.9672,67.8053,109.7857,-171.4783,-67.271,-165.1585,
-87.5809,64.6555,-87.4442,67.6529,110.9655,-171.5642,148.8089,-61.2829,
-87.2977,64.7834,-86.9089,67.7162,110.4893,-171.5598,77.674,64.5906,
-88.1293,64.6192,-86.9368,67.6378,109.8397,-171.5749,79.8451,-171.2576,
-87.8494,65.1235,-66.3634,-165.4495,-61.9049,-61.0122,-65.3129,-54.9145,
-88.0916,64.92,-67.0794,-165.335,-60.4072,-60.6625,-87.4802,67.8933,
-87.8024,64.7691,-66.6025,-165.4616,-61.9685,-61.0486,-66.9099,-165.6362,
